Actor,Movies
Christian Bale,11.0
Mark Wahlberg,11.0
 Rose Byrne,9.0
 Woody Harrelson,9.0
Adam Sandler,9.0
Brad Pitt,9.0
Denzel Washington,9.0
Jake Gyllenhaal,9.0
Leonardo DiCaprio,9.0
Matthew McConaughey,9.0
Will Smith,9.0
 Anne Hathaway,8.0
 Cate Blanchett,8.0
 Chloë Grace Moretz,8.0
 Hugh Jackman,8.0
 Joel Edgerton,8.0
 Michelle Monaghan,8.0
 Morgan Freeman,8.0
 Scarlett Johansson,8.0
Daniel Radcliffe,8.0
Jennifer Lawrence,8.0
Johnny Depp,8.0
Robert Downey Jr.,8.0
Tom Hanks,8.0
Tom Hardy,8.0
 Ben Kingsley,7.0
 Bradley Cooper,7.0
 Charlize Theron,7.0
 Emma Stone,7.0
 Emma Watson,7.0
 Jamie Bell,7.0
 Jonah Hill,7.0
 Mark Strong,7.0
 Rachel McAdams,7.0
 Samuel L. Jackson,7.0
Channing Tatum,7.0
Matt Damon,7.0
Michael Fassbender,7.0
Tom Cruise,7.0
 Anna Kendrick,6.0
 Ben Foster,6.0
 Chiwetel Ejiofor,6.0
 Emily Blunt,6.0
 Gerard Butler,6.0
 Josh Brolin,6.0
 Jude Law,6.0
 Kristen Wiig,6.0
 Leslie Mann,6.0
 Liam Hemsworth,6.0
 Mark Ruffalo,6.0
 Mila Kunis,6.0
 Owen Wilson,6.0
 Rachel Weisz,6.0
 Ralph Fiennes,6.0
 Rosario Dawson,6.0
 Theo James,6.0
 Viola Davis,6.0
 Zoe Saldana,6.0
Ben Affleck,6.0
Chris Hemsworth,6.0
Chris Pine,6.0
George Clooney,6.0
Hugh Jackman,6.0
Jesse Eisenberg,6.0
Joseph Gordon-Levitt,6.0
Kristen Stewart,6.0
Naomi Watts,6.0
Seth Rogen,6.0
Shia LaBeouf,6.0
Sylvester Stallone,6.0
Vin Diesel,6.0
Will Ferrell,6.0
 Aaron Eckhart,5.0
 Abbie Cornish,5.0
 Alicia Vikander,5.0
 Amy Adams,5.0
 Andrew Scott,5.0
 Bill Nighy,5.0
 Brendan Gleeson,5.0
 Bryan Cranston,5.0
 Bryce Dallas Howard,5.0
 Channing Tatum,5.0
 Charlotte Le Bon,5.0
 Cillian Murphy,5.0
 Diane Kruger,5.0
 Domhnall Gleeson,5.0
 Dwayne Johnson,5.0
 Gary Oldman,5.0
 Hailee Steinfeld,5.0
 Helena Bonham Carter,5.0
 J.K. Simmons,5.0
 Javier Bardem,5.0
 Jennifer Garner,5.0
 Jessica Chastain,5.0
 John C. Reilly,5.0
 John Goodman,5.0
 Josh Duhamel,5.0
 Josh Hutcherson,5.0
 Kate Winslet,5.0
 Lena Headey,5.0
 Liam Neeson,5.0
 Liev Schreiber,5.0
 Margot Robbie,5.0
 Marion Cotillard,5.0
 Martin Freeman,5.0
 Michael Fassbender,5.0
 Michael Peña,5.0
 Michelle Rodriguez,5.0
 Paula Patton,5.0
 Robert Pattinson,5.0
 Rosamund Pike,5.0
 Ryan Gosling,5.0
 Seth Rogen,5.0
 Shia LaBeouf,5.0
 Sienna Miller,5.0
 T.J. Miller,5.0
 Teresa Palmer,5.0
 Tim Roth,5.0
 Willem Dafoe,5.0
Andrew Garfield,5.0
Angelina Jolie,5.0
Anna Kendrick,5.0
Ben Stiller,5.0
Chris Evans,5.0
Daniel Craig,5.0
Dwayne Johnson,5.0
Ethan Hawke,5.0
Gerard Butler,5.0
James Franco,5.0
James McAvoy,5.0
Jason Bateman,5.0
Kate Beckinsale,5.0
Liam Neeson,5.0
Logan Lerman,5.0
Michael Caine,5.0
Ryan Gosling,5.0
Sharlto Copley,5.0
Steve Carell,5.0
Zac Efron,5.0
 Alec Baldwin,4.0
 Amanda Seyfried,4.0
 Amy Ryan,4.0
 Anthony Mackie,4.0
 Brad Pitt,4.0
 Britt Robertson,4.0
 Casey Affleck,4.0
 Chris Evans,4.0
 Chris Hemsworth,4.0
 Chris Pratt,4.0
 Ciarán Hinds,4.0
 Elizabeth Banks,4.0
 Eric Bana,4.0
 Felicity Jones,4.0
 Garrett Hedlund,4.0
 Gwyneth Paltrow,4.0
 Haley Bennett,4.0
 Ian McKellen,4.0
 Ian McShane,4.0
 Idris Elba,4.0
 Imogen Poots,4.0
 James Franco,4.0
 James McAvoy,4.0
 Jamie Foxx,4.0
 Jason Bateman,4.0
 Jason Statham,4.0
 Jason Sudeikis,4.0
 Jeff Bridges,4.0
 Jennifer Aniston,4.0
 Jennifer Connelly,4.0
 Jeremy Irons,4.0
 Jeremy Renner,4.0
 Johnny Depp,4.0
 Judi Dench,4.0
 Kate Mara,4.0
 Keira Knightley,4.0
 Kevin James,4.0
 Kyle Chandler,4.0
 Mark Wahlberg,4.0
 Maya Rudolph,4.0
 Meryl Streep,4.0
 Natalie Portman,4.0
 Paul Walker,4.0
 Penélope Cruz,4.0
 Peter Sarsgaard,4.0
 Rebecca Hall,4.0
 Rebel Wilson,4.0
 Richard Jenkins,4.0
 Robert De Niro,4.0
 Robert Downey Jr.,4.0
 Ron Perlman,4.0
 Rooney Mara,4.0
 Rupert Grint,4.0
 Ryan Reynolds,4.0
 Sam Claflin,4.0
 Sarah Gadon,4.0
 Sharlto Copley,4.0
 Taylor Lautner,4.0
 Thandie Newton,4.0
 Tom Hardy,4.0
 Tyrese Gibson,4.0
 Vera Farmiga,4.0
 Vincent Cassel,4.0
Aaron Taylor-Johnson,4.0
Amy Adams,4.0
Anne Hathaway,4.0
Bradley Cooper,4.0
Colin Farrell,4.0
Colin Firth,4.0
Dev Patel,4.0
Eddie Redmayne,4.0
Jay Baruchel,4.0
Jennifer Aniston,4.0
Jeremy Renner,4.0
Josh Brolin,4.0
Keanu Reeves,4.0
Kevin Costner,4.0
Mia Wasikowska,4.0
Miles Teller,4.0
Natalie Portman,4.0
Patrick Wilson,4.0
Robert De Niro,4.0
Russell Crowe,4.0
Sam Worthington,4.0
Sandra Bullock,4.0
Saoirse Ronan,4.0
Scarlett Johansson,4.0
Shailene Woodley,4.0
Simon Pegg,4.0
Zoey Deutch,4.0
 Adam Driver,3.0
 Alan Rickman,3.0
 Albert Brooks,3.0
 Alexandra Daddario,3.0
 Alison Brie,3.0
 Amber Heard,3.0
